idpub,CESD,Marital_status,School_rank,IQ,SE_status_parents,Town_population,Agreeableness,Conscientiousnes,Extraversion, Neuroticism,Openness,Kidsno,Years_of_education,Age_at_first_birth,Autonomy,Self_Acceptance,No_emp_spell,Social_part_1,Family_Stress,additional_child,trt
903231,24,1,61,97,21,7,34,29,16,15,27,2,12,240,42,32,4,3,4,0,0
903234,11,1,81,98,22,6,32,32,19,12,18,3,12,200,28,35,1,1,8,0,0
903247,6,1,78,120,4,3,35,31,20,20,16,4,15,258,32,41,1,2,4,0,0
903312,14,1,87,124,26,3,21,26,22,22,28,2,16,270,24,25,2,4,12,0,0
903327,13,0,59,118,6,5,25,26,25,14,25,3,12,214,33,35,3,3,7,0,0
903347,11,1,44,98,13,9,31,36,15,19,17,3,12,197,30,40,3,4,10,0,0
903348,12,0,64,109,24,9,28,28,26,8,26,5,12,192,33,33,1,2,10,2,0
903371,16,1,23,96,4,2,26,30,23,20,17,2,13,298,31,40,2,1,8,0,0
903377,3,1,60,109,9,6,32,26,24,22,22,6,12,202,30,32,4,3,5,2,0
903406,15,1,73,121,8,6,29,24,18,26,29,4,16,230,35,41,2,2,9,0,0
903417,8,1,34,99,19,5,34,32,27,16,28,2,17,208,33,40,1,5,7,1,0
903446,2,1,71,103,19,6,35,32,33,18,31,3,16,240,36,34,2,4,12,0,0
903518,2,1,91,124,5,2,33,30,30,12,26,3,16,242,30,36,1,2,12,0,0
903533,14,1,71,104,24,5,34,29,27,12,20,2,14,296,34,36,1,2,10,0,0
903561,12,1,38,86,4,4,26,27,21,15,18,7,12,209,26,30,1,2,10,0,0
903572,22,1,51,104,11,5,30,32,23,12,17,4,12,330,41,38,2,1,5,0,0
903575,9,1,50,93,3,6,23,27,18,17,25,2,12,209,27,36,3,1,7,0,0
903609,34,1,31,67,5,2,31,36,25,19,19,3,12,216,23,28,1,2,8,0,0
903639,14,1,98,129,6,4,33,28,10,14,20,5,12,226,27,31,1,1,8,0,0
903654,4,0,81,111,13,2,34,31,20,10,10,4,12,218,34,35,3,0,8,0,1
903690,10,1,89,124,25,5,34,34,24,19,30,1,16,255,34,37,1,5,15,1,0
903706,7,1,36,87,24,5,27,26,16,14,15,2,12,260,32,38,1,0,7,0,1
903749,9,1,91,109,18,6,28,25,25,19,21,4,16,240,31,38,3,3,14,1,0
903751,5,1,52,101,5,4,27,21,24,21,20,4,12,209,33,37,2,2,9,0,0
903762,10,1,37,86,10,4,30,25,28,23,20,3,12,201,17,25,1,1,10,0,0
903774,4,1,84,113,28,2,26,30,16,19,21,4,16,240,26,32,2,3,13,0,1
903784,15,1,52,83,15,3,30,28,16,17,18,2,12,275,30,30,1,1,8,0,0
903830,15,1,67,94,13,2,30,29,23,19,22,3,13,207,34,36,3,2,8,0,1
903846,17,1,71,86,10,3,23,23,23,23,18,4,12,250,33,36,1,2,9,0,0
903851,18,1,79,97,6,3,27,29,20,18,18,2,12,240,33,24,1,4,8,0,0
903865,2,1,70,115,15,6,35,27,19,6,17,1,12,223,40,41,1,1,5,0,0
903870,18,1,88,99,15,2,31,35,30,18,23,3,12,208,38,36,3,3,8,0,0
903896,8,0,80,104,3,2,35,33,20,12,26,6,12,191,38,36,3,2,5,0,0
903898,21,1,83,124,53,6,27,24,23,13,34,2,18,270,33,40,3,2,8,0,0
903931,3,1,80,113,25,9,24,33,26,12,25,4,12,241,38,41,3,4,5,0,0
903942,21,1,63,107,16,6,25,29,25,19,19,2,13,227,33,29,1,2,9,0,0
903963,17,0,39,104,31,5,26,27,18,14,32,2,16,223,40,40,2,1,6,1,0
903985,14,1,68,94,3,2,29,28,21,20,13,4,12,255,24,35,1,1,8,0,0
903986,7,1,5,92,25,7,33,32,31,10,26,2,13,277,38,41,4,3,7,0,0
903989,9,1,67,98,23,7,34,35,19,13,20,3,16,212,37,35,2,2,12,0,0
903992,4,1,89,109,11,4,33,27,24,23,24,2,14,215,30,41,1,2,7,0,0
904002,9,1,98,113,13,3,16,29,15,21,27,2,14,258,34,26,1,6,6,0,0
904004,4,1,84,115,21,4,35,32,27,12,20,3,12,202,42,40,3,2,6,2,0
904008,33,1,59,99,55,9,26,26,26,21,23,2,16,310,26,30,1,4,14,0,0
904019,28,1,12,86,9,5,26,31,13,27,14,3,12,285,26,25,1,0,9,0,0
904029,7,1,93,104,7,2,34,31,29,15,25,2,15,298,38,41,9,1,5,0,0
904042,11,1,97,121,33,9,32,29,11,12,14,3,16,246,31,17,2,5,8,0,0
904053,20,1,54,107,15,4,29,31,25,27,21,3,12,283,34,35,1,1,11,0,1
904062,0,1,86,109,15,4,31,32,27,17,16,3,12,288,37,40,2,2,6,1,0
904063,24,1,32,85,4,2,27,27,23,17,19,3,12,220,28,32,1,1,10,0,0
904066,20,1,98,118,5,5,32,29,22,14,30,4,16,247,42,37,3,7,17,0,0
904104,25,1,62,94,18,2,27,25,18,14,20,3,12,208,33,34,0,0,8,0,1
904105,22,1,85,103,17,2,21,32,30,22,33,2,16,279,34,28,2,1,16,0,0
904106,11,1,68,98,18,2,34,32,25,10,24,3,16,269,31,36,0,4,13,0,1
904110,13,1,96,129,44,4,24,23,13,18,32,2,17,292,22,31,1,0,12,2,0
904123,1,1,95,127,44,4,34,33,29,7,30,2,16,297,39,39,2,2,4,0,0
904133,1,1,53,89,22,5,26,30,27,17,26,4,12,208,38,42,2,1,9,0,1
904156,12,1,79,107,9,4,31,21,19,25,16,3,15,220,25,28,3,1,12,0,0
904168,5,1,88,112,14,2,30,28,20,15,24,2,15,240,24,31,3,2,14,0,0
904209,4,1,5,73,8,5,22,30,26,28,20,5,12,201,37,42,1,1,8,0,0
904219,15,1,86,107,23,9,21,35,30,19,29,2,16,262,34,34,2,1,13,0,0
904266,74,1,11,88,5,4,27,30,21,22,18,4,12,185,24,30,4,1,14,0,0
904350,0,1,83,104,20,3,35,36,20,14,22,2,16,297,39,42,1,3,6,0,0
904367,14,1,94,127,12,6,33,31,32,8,23,7,12,194,35,32,3,1,10,0,0
904376,39,1,30,99,8,3,33,29,27,25,24,3,12,206,37,34,2,2,16,0,0
904379,5,1,59,101,9,2,27,29,24,16,23,4,13,210,32,36,1,3,8,0,0
904389,15,1,13,75,12,2,24,25,18,25,12,2,12,211,24,36,1,2,8,0,0
904426,4,1,76,133,19,2,24,25,20,15,21,6,15,224,31,42,3,2,12,0,0
904436,7,1,75,93,22,9,34,33,32,8,26,2,15,229,34,33,1,7,8,0,0
904443,32,1,24,77,4,4,22,23,19,21,20,4,12,198,28,21,3,2,13,0,0
904457,39,1,70,86,22,4,21,32,24,20,19,3,13,220,33,32,1,2,12,0,1
904493,35,1,91,133,13,3,29,30,12,19,33,4,14,206,34,28,3,1,6,0,0
904519,31,1,75,109,38,9,28,29,20,14,21,2,12,205,26,23,3,5,11,0,0
904520,2,1,41,106,24,5,21,35,31,9,23,2,15,232,36,38,2,2,9,0,1
904529,19,1,82,104,7,2,30,31,26,16,22,2,12,286,42,42,4,2,4,0,0
904571,9,0,74,121,22,9,29,28,15,8,24,2,12,230,28,29,7,1,8,0,0
904619,11,1,24,106,32,7,33,30,27,14,27,3,13,236,25,37,3,2,10,3,0
904627,2,1,79,112,33,7,30,20,27,9,26,2,15,232,33,39,8,4,8,1,0
904659,24,1,97,125,22,6,25,28,28,17,22,3,14,216,34,42,2,4,4,0,0
904669,24,1,74,96,35,6,32,34,27,11,32,6,13,196,33,35,3,5,8,0,0
904672,18,1,25,89,1,6,24,32,27,16,17,2,14,246,25,28,1,4,11,0,0
904696,22,1,62,101,4,3,26,28,21,16,20,4,12,187,27,28,1,2,7,0,0
904704,63,1,52,117,9,3,20,18,14,21,18,4,12,195,28,16,1,2,14,0,0
904705,1,1,42,103,36,7,30,29,22,11,22,3,12,185,28,41,2,2,4,0,0
904712,35,1,33,94,25,7,25,25,21,20,19,6,13,219,21,26,2,2,11,1,0
904723,17,1,3,71,4,4,26,25,22,19,24,1,12,233,27,34,3,0,10,0,0
904725,11,1,69,98,4,4,29,31,23,23,16,4,12,235,23,35,1,3,11,0,0
904727,51,1,95,109,10,8,22,27,19,25,23,1,16,287,35,21,3,2,11,0,1
904793,8,0,37,109,5,4,31,24,26,10,20,3,12,198,33,27,3,1,14,5,0
904796,16,1,23,83,29,7,32,32,27,11,21,7,13,195,25,35,1,3,10,2,0
904843,10,1,94,109,15,9,31,30,23,14,25,3,12,191,31,36,7,1,8,0,0
904854,15,1,93,102,22,6,27,35,25,13,22,2,13,220,30,31,1,5,10,0,0
904856,14,1,95,113,22,4,26,29,20,17,21,4,17,239,28,29,2,1,10,0,0
904873,5,1,65,93,16,4,27,23,21,21,20,3,12,211,26,37,0,2,12,0,0
904875,6,1,30,81,11,4,34,32,16,9,19,2,13,245,36,37,1,1,9,0,0
904897,7,1,27,79,11,3,36,32,21,17,26,4,12,206,30,40,9,3,5,0,0
904915,39,1,54,93,8,6,32,33,17,23,21,3,13,188,27,19,2,0,8,0,0
904924,21,1,31,112,30,8,30,32,30,7,34,2,15,280,34,36,4,7,5,0,0
904932,28,1,33,94,3,6,29,30,26,13,24,2,14,228,37,35,1,9,7,0,0
904984,27,1,71,102,23,6,32,33,22,17,24,3,12,232,30,32,3,4,10,0,1
905002,20,1,87,109,11,9,20,30,28,17,18,3,16,255,24,33,3,4,10,0,0
905029,10,1,83,123,30,7,26,26,26,20,23,2,12,209,26,32,6,1,8,0,0
905048,16,1,86,107,10,4,34,36,13,13,18,6,12,189,32,36,1,2,9,0,0
905054,26,1,74,92,20,2,23,25,16,16,26,3,15,230,31,35,7,3,6,0,0
905061,11,1,16,91,4,3,28,29,20,9,24,4,12,189,25,27,3,4,8,0,0
905068,76,1,85,109,6,2,16,24,24,27,14,4,12,195,34,27,3,1,11,0,1
905080,16,1,68,96,11,5,30,33,20,21,22,3,12,190,27,28,1,0,9,0,0
905085,13,1,90,111,32,9,25,23,29,20,12,2,16,246,26,35,2,4,5,0,0
905086,1,1,25,87,15,2,27,24,17,14,20,7,12,204,35,35,1,0,10,1,0
905094,5,1,44,109,17,4,31,29,26,11,18,3,12,192,33,32,1,3,8,4,1
905117,77,1,48,106,5,3,33,26,22,14,22,6,14,210,33,26,1,5,15,4,0
905118,12,0,20,82,8,6,27,26,23,16,22,2,12,186,35,38,1,0,8,0,0
905130,32,1,81,120,33,2,12,18,9,3,13,4,16,227,18,16,2,4,9,0,1
905149,16,1,54,109,15,6,29,29,28,12,22,5,12,192,38,27,7,3,10,0,0
905158,25,1,7,99,10,5,30,31,26,19,25,2,12,230,32,29,1,2,8,0,0
905161,18,0,78,121,9,6,30,30,20,13,25,4,13,201,29,34,1,5,10,2,0
905164,18,0,29,107,20,7,21,27,11,21,12,1,14,248,21,28,1,2,7,0,0
905188,9,1,51,109,15,6,30,21,25,8,26,2,16,303,42,24,1,1,4,2,1
905190,21,1,71,107,28,7,25,30,28,24,17,2,14,228,35,35,1,0,10,0,0
905197,24,1,33,101,9,4,26,25,25,20,17,3,12,224,29,28,2,3,16,0,0
905225,5,1,31,115,97,5,30,29,35,9,25,2,15,248,35,42,1,4,10,0,0
905233,17,1,33,86,13,2,22,31,23,24,18,3,12,232,14,16,2,3,6,0,0
905294,50,0,8,77,9,6,24,24,17,22,24,3,12,225,23,27,3,2,8,0,1
905308,15,1,75,89,8,6,36,33,23,16,29,4,12,213,41,40,1,3,8,0,0
905430,22,1,38,97,13,7,26,24,23,16,29,4,12,195,32,31,3,0,11,0,0
905441,2,1,87,120,25,7,24,30,16,8,28,2,16,278,32,39,2,3,9,0,0
905465,50,1,25,89,7,2,30,33,19,23,16,5,12,195,19,21,3,0,9,0,0
905491,18,1,91,79,9,2,28,22,16,20,17,6,16,227,28,28,1,1,10,0,0
905493,20,1,30,102,28,9,27,35,14,21,12,4,13,217,26,29,2,5,9,0,0
905502,24,1,91,115,9,3,28,29,23,22,16,3,15,232,25,26,2,3,15,0,0
905510,1,1,58,104,15,3,32,27,28,8,27,6,12,196,38,41,2,2,7,0,0
905548,22,1,17,106,32,9,26,35,18,19,16,2,12,299,38,31,3,2,10,0,0
905578,24,1,71,97,6,3,29,21,23,21,15,1,12,205,27,20,2,0,8,4,0
905599,19,1,33,94,11,3,33,31,28,13,29,1,12,351,40,32,3,0,8,1,0
905622,37,1,11,85,4,4,23,20,10,25,15,2,12,255,32,36,1,1,10,0,0
905693,5,1,63,111,35,8,20,26,18,21,18,5,13,211,37,24,1,2,17,0,0
905761,17,1,63,109,20,7,30,28,23,20,18,4,12,218,31,36,1,2,14,0,0
905766,9,1,98,117,16,3,20,36,25,17,26,3,14,263,32,35,2,2,10,0,0
